word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
armata;U;2.444;2.222;2.074;3.222;2.222;6.101;6.786;6.864;5.770;6.843;4.338;4.338;N;;
armia;F;2.346;2.731;2.962;4.077;2.154;7.060;6.877;6.617;5.477;7.308;5.250;5.250;N;;
arogancki;A;1.154;4.692;2.769;2.769;3.885;8.411;5.306;7.234;7.230;6.214;5.850;5.306;A;;
aromat;U;4.630;1.111;1.148;1.333;1.519;2.838;7.252;7.228;7.046;6.885;3.961;2.838;H;;
aromatyczny;U;4.538;1.538;1.423;1.385;1.346;3.043;7.024;7.126;7.181;7.184;4.033;3.043;H;;
arsen;U;1.885;1.769;1.846;2.731;1.962;6.418;6.579;6.509;5.587;6.358;2.899;2.899;N;;
arsena³;F;2.222;1.556;1.778;2.630;1.815;5.730;6.562;6.378;5.375;6.325;2.978;2.978;N;;
artystyczny;U;4.148;1.926;1.667;1.630;1.407;3.736;6.567;6.878;6.915;7.097;4.053;3.736;H;;
ascetyczny;U;2.500;1.885;2.577;2.346;2.077;5.880;6.729;5.853;6.281;6.470;3.801;3.801;N;;
asceza;U;1.852;1.963;2.370;1.815;1.963;6.275;6.116;5.695;6.404;6.247;3.153;3.153;N;;
asekuracyjny;U;3.259;1.593;1.630;2.926;1.667;5.051;6.920;6.853;5.592;6.836;3.790;3.790;N;;
aspo³eczny;U;1.630;2.407;3.222;2.963;2.148;7.063;6.501;5.764;6.073;6.791;4.212;4.212;N;;
atak;U;1.885;4.192;3.115;5.000;2.962;8.461;6.749;7.711;5.922;7.872;6.637;5.922;F;;
atlas;N;3.259;1.222;1.074;1.222;1.000;4.038;6.612;6.758;6.647;6.818;2.382;2.382;N;;
atomowy;U;2.333;2.444;2.296;3.037;2.296;6.469;6.618;6.835;6.102;6.807;4.199;4.199;N;;
atrakcyjny;U;5.538;2.192;2.346;2.038;1.423;3.561;7.637;7.523;7.692;8.117;5.732;3.561;H;;
atramentowy;N;2.333;1.519;1.407;1.259;1.185;5.223;6.231;6.297;6.416;6.468;1.755;1.755;N;;
autonomiczny;U;3.556;1.852;1.519;1.852;1.444;4.129;6.427;6.791;6.427;6.872;3.685;3.685;N;;
autorytet;U;4.962;1.846;1.538;2.538;1.615;3.477;7.371;7.626;6.750;7.572;5.028;3.477;H;;
awans;U;5.500;1.385;1.154;2.231;1.192;2.693;7.632;7.809;6.943;7.774;4.961;2.693;H;;
awantura;U;1.385;5.231;4.423;4.577;2.962;9.377;6.600;7.345;7.255;8.441;7.332;6.600;A;;
awaria;A;1.308;5.077;3.192;3.692;2.423;8.630;5.228;7.478;7.036;8.005;6.213;5.228;A;;
awersja;U;1.407;3.296;2.296;2.296;2.926;7.407;5.779;6.698;6.778;6.147;4.335;4.335;N;;
azyl;U;4.630;1.444;1.889;2.037;1.481;3.385;7.216;6.802;6.678;7.178;4.328;3.385;H;;
badacz;U;3.077;1.769;1.385;1.808;1.269;4.609;6.151;6.493;6.099;6.607;2.832;2.832;N;;
badaæ;U;3.192;1.423;1.846;2.923;1.885;5.152;7.169;6.839;5.712;6.801;3.903;3.903;N;;
bagno;U;1.769;2.538;2.538;3.577;4.154;7.623;7.311;7.351;6.362;5.678;5.695;5.678;D;;
bajka;U;5.077;1.308;1.654;1.423;1.231;2.618;7.524;7.224;7.423;7.595;4.523;2.618;H;;
bakteria;U;1.615;2.577;2.385;4.308;4.192;7.955;7.565;7.740;5.974;6.011;5.837;5.837;N;;
balast;A;1.593;3.222;2.481;2.741;2.185;6.996;5.379;6.206;5.949;6.478;4.167;4.167;N;;
balkon;U;3.667;1.593;1.519;2.444;1.593;4.469;6.985;7.035;6.052;7.006;3.921;3.921;N;;
balon;U;4.038;1.192;1.192;1.192;1.077;3.265;6.908;6.903;6.890;6.998;3.160;3.160;N;;
balsam;U;4.038;1.423;1.423;1.346;1.731;3.765;7.058;7.057;7.125;6.761;3.820;3.765;H;;
bananowy;U;4.462;1.577;1.231;1.154;1.462;2.920;6.977;7.310;7.359;7.134;4.204;2.920;H;;
bandyta;U;1.154;4.962;3.615;5.192;4.462;9.797;7.241;8.298;7.042;7.654;7.610;7.042;F;;
baner;A;1.885;3.538;2.038;1.654;2.769;6.908;5.448;6.939;7.240;6.278;4.170;4.170;N;;
bank;U;2.346;2.731;2.038;2.654;1.962;6.342;6.185;6.845;6.259;6.941;3.752;3.752;N;;
bankructwo;U;1.000;4.885;4.808;5.462;3.308;10.173;7.637;7.774;7.073;8.819;7.873;7.073;F;;
bar;U;3.615;2.346;2.231;2.308;2.346;5.070;6.875;6.936;6.944;6.822;4.824;4.824;N;;
barbarzyñca;U;1.462;4.192;3.500;4.692;4.038;8.901;7.071;7.580;6.583;7.254;6.951;6.583;F;;
bariera;A;1.481;3.222;2.741;2.815;1.778;7.202;5.378;6.046;6.014;7.026;4.197;4.197;N;;
bateria;N;2.462;1.731;1.538;1.769;1.538;5.272;6.111;6.323;6.123;6.315;2.491;2.491;N;;
bawiæ;U;5.333;1.704;1.741;1.556;1.333;2.644;7.390;7.354;7.554;7.704;5.081;2.644;H;;
ba¿ant;U;2.963;1.296;1.333;1.667;1.370;4.481;6.501;6.455;6.113;6.436;2.561;2.561;N;;
b¹k;U;2.444;1.778;1.481;2.741;3.074;5.936;6.969;7.124;6.045;5.618;4.193;4.193;N;;
belka;N;1.963;1.630;1.630;1.667;1.333;5.579;6.029;6.020;5.976;6.317;1.883;1.883;N;;
benzyna;F;2.500;1.846;1.654;2.654;1.654;5.537;6.353;6.578;5.488;6.573;3.464;3.464;N;;
