word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
karafka;N;3.259;1.222;1.407;1.296;1.074;4.168;6.683;6.541;6.636;6.787;2.482;2.482;N;;
karalny;U;1.231;3.577;3.423;4.500;2.577;8.580;6.982;7.067;5.971;7.742;5.700;5.700;N;;
karaluch;U;1.231;3.269;2.846;3.885;5.385;9.158;7.808;8.247;7.451;5.757;6.917;5.757;D;;
karciæ;U;1.556;3.481;3.444;3.556;2.926;7.864;6.217;6.346;6.203;6.785;5.169;5.169;N;;
kariera;U;5.185;2.259;1.926;3.481;1.481;4.165;7.472;7.684;6.385;8.043;5.642;4.165;H;;
karnawa³owy;U;4.808;1.269;1.423;1.308;1.269;2.669;7.230;7.071;7.202;7.210;4.123;2.669;H;;
kartka;N;2.577;1.231;1.731;1.269;1.115;4.983;6.545;5.999;6.485;6.600;2.198;2.198;N;;
karton;N;2.038;1.846;1.846;1.846;1.615;5.774;6.123;6.130;6.088;6.323;2.355;2.355;N;;
kartoteka;U;1.462;2.462;2.231;3.500;2.654;7.485;6.920;7.098;5.792;6.792;4.159;4.159;N;;
kasa;U;4.519;2.111;1.704;2.148;1.630;3.882;7.071;7.411;7.012;7.488;4.705;3.882;H;;
kaseta;U;3.269;1.231;1.769;1.308;1.231;4.173;6.697;6.165;6.605;6.689;2.789;2.789;N;;
kasyno;U;2.615;3.154;2.423;3.615;3.231;6.969;6.916;7.584;6.586;6.807;5.580;5.580;N;;
kasztan;U;4.077;1.269;1.577;1.269;1.269;3.520;6.948;6.709;6.941;6.938;3.452;3.452;N;;
katafalk;U;1.500;1.846;2.692;2.385;2.038;6.808;6.728;5.839;6.247;6.548;3.096;3.096;N;;
katastrofa;U;1.037;3.593;5.111;5.333;2.704;9.686;7.972;6.676;6.294;8.639;7.479;6.294;F;;
katowaæ;U;1.115;4.885;4.654;5.231;5.231;10.272;7.763;8.030;7.532;7.564;8.283;7.532;F;;
katusze;U;1.077;3.692;4.269;4.692;3.846;9.333;7.547;6.889;6.661;7.383;6.920;6.661;F;;
kawa;U;4.346;1.269;1.385;1.346;1.538;3.130;7.182;7.061;7.102;6.857;4.103;3.130;H;;
kawowy;U;4.077;1.385;1.154;1.077;1.346;3.175;6.726;6.942;7.022;6.690;3.455;3.175;H;;
kazanie;A;1.500;3.769;2.154;2.231;2.692;7.333;5.096;7.025;6.824;6.463;4.731;4.731;N;;
kaŸñ;U;1.077;3.308;3.654;4.154;3.808;8.947;7.562;7.261;6.784;7.139;5.941;5.941;N;;
k¹pielowy;U;3.423;1.346;1.615;1.538;1.385;4.193;6.743;6.513;6.541;6.694;2.994;2.994;N;;
kciuk;N;2.500;1.346;1.385;1.538;1.654;5.247;6.504;6.487;6.334;6.083;2.350;2.350;N;;
kicz;U;1.852;2.926;1.630;1.333;2.963;6.452;5.447;6.825;7.057;5.383;3.688;3.688;N;;
kie³basa;U;2.731;1.731;1.615;1.423;2.115;5.110;6.513;6.666;6.845;6.072;3.182;3.182;N;;
kiepski;U;1.115;3.769;3.385;2.577;3.000;8.106;5.823;6.380;6.993;6.604;5.053;5.053;N;;
kierowaæ;U;4.500;1.692;1.654;2.577;1.308;3.922;7.148;7.184;6.269;7.455;4.440;3.922;H;;
kierowca;U;3.654;2.423;1.885;3.385;1.577;5.427;6.859;7.287;5.915;7.513;4.653;4.653;N;;
kierownica;N;2.769;1.423;1.500;2.038;1.154;5.035;6.583;6.506;5.968;6.764;2.492;2.492;N;;
kierownik;U;2.769;2.808;2.423;3.038;2.154;6.105;6.424;6.764;6.147;6.893;4.487;4.487;N;;
kiosk;N;2.185;1.556;1.519;1.370;1.481;5.357;6.086;6.096;6.253;6.115;1.852;1.852;N;;
klacz;U;3.385;1.115;1.192;1.615;1.192;3.988;6.799;6.736;6.308;6.726;2.753;2.753;N;;
klakson;A;1.692;3.808;1.731;2.692;2.308;7.149;5.194;7.276;6.407;6.854;4.499;4.499;N;;
klamka;N;1.630;1.407;1.296;2.037;1.185;5.904;6.183;6.254;5.505;6.352;1.652;1.652;N;;
klasa;U;3.462;1.962;1.962;2.077;1.500;4.632;6.759;6.761;6.678;7.165;3.869;3.869;N;;
klasyczny;U;3.308;1.615;1.885;1.538;1.462;4.594;6.718;6.444;6.777;6.821;3.209;3.209;N;;
klasztor;S;2.192;1.500;2.538;1.885;1.538;5.683;6.513;5.303;6.096;6.476;3.032;3.032;N;;
klatka;U;1.308;3.269;3.500;4.000;3.038;8.322;6.995;6.769;6.154;7.222;5.536;5.536;N;;
klej;U;2.154;1.846;1.423;2.038;2.077;5.673;6.144;6.539;5.890;5.890;2.652;2.652;N;;
klejnot;U;4.962;1.308;1.538;1.462;1.115;2.698;7.350;7.163;7.239;7.472;4.329;2.698;H;;
klient;U;2.692;2.808;1.962;2.538;2.154;6.023;6.181;7.066;6.429;6.850;4.249;4.249;N;;
klimatyczny;U;4.385;1.346;1.769;1.654;1.231;3.620;7.288;6.956;7.077;7.381;3.953;3.620;H;;
klinika;U;2.407;1.963;3.407;3.926;2.481;7.030;7.586;6.424;5.823;7.221;5.335;5.335;N;;
klon;U;1.885;1.577;2.038;2.462;2.077;6.378;6.817;6.268;5.938;6.424;3.155;3.155;N;;
k³adka;U;3.077;1.385;1.192;2.385;1.385;4.779;6.678;6.838;5.706;6.674;2.865;2.865;N;;
k³amaæ;U;1.654;4.615;3.885;3.846;4.308;8.964;6.740;7.527;7.517;6.998;7.183;6.740;A;;
k³amstwo;U;1.269;4.231;3.923;3.808;4.500;9.008;6.780;7.127;7.136;6.500;6.795;6.500;D;;
k³aœæ;N;2.654;1.500;1.731;1.577;1.231;4.896;6.342;6.124;6.277;6.595;2.383;2.383;N;;
k³ótnia;U;1.308;5.115;4.115;3.846;2.577;8.921;5.813;6.909;7.144;8.068;6.563;5.813;A;;
k³uæ;F;1.538;2.654;2.077;3.577;2.885;7.310;6.377;7.068;5.495;6.333;4.623;4.623;N;;
knajpa;U;3.808;1.462;1.538;2.038;1.923;4.032;6.869;6.802;6.301;6.378;3.933;3.933;N;;
knebel;U;1.615;3.538;2.923;4.462;3.231;8.272;6.939;7.402;6.125;7.229;5.918;5.918;N;;
kneblowaæ;U;1.308;4.385;3.500;5.115;3.808;9.196;7.005;7.847;6.364;7.499;7.132;6.364;F;;
koalicyjny;U;2.500;2.154;1.269;2.154;1.692;5.426;5.810;6.774;5.772;6.334;3.201;3.201;N;;
kobiecy;U;4.259;1.667;1.593;1.667;1.407;3.535;7.050;7.110;7.010;7.253;4.037;3.535;H;;
kobieta;U;5.077;1.923;2.269;2.192;1.500;3.726;7.703;7.401;7.538;8.003;5.349;3.726;H;;
kobra;U;1.778;2.074;1.704;3.704;3.333;7.119;7.128;7.426;5.503;5.991;4.630;4.630;N;;
kochaæ;U;6.596;1.923;2.731;3.154;1.308;3.470;8.599;8.019;7.684;9.016;6.892;3.470;H;;
kochanek;U;3.148;2.815;3.000;3.333;2.444;6.345;7.229;7.023;6.743;7.508;5.561;5.561;N;;
kochanka;U;2.704;3.704;3.481;3.074;3.259;7.249;6.999;7.142;7.556;7.316;6.281;6.281;N;;
kochany;H;5.962;1.308;1.423;1.654;1.115;1.754;7.978;7.868;7.695;8.080;5.365;1.754;H;;
kogut;N;1.885;1.346;1.346;1.769;1.692;5.657;6.319;6.321;5.875;5.915;2.025;2.025;N;;
kolebka;N;2.741;1.481;1.444;1.148;1.296;4.689;6.304;6.324;6.605;6.469;2.168;2.168;N;;
kolega;U;4.962;1.615;1.423;1.500;1.192;2.616;6.947;7.133;7.057;7.309;4.361;2.616;H;;
kolejka;U;2.000;3.731;2.769;2.115;2.308;6.976;5.564;6.761;7.322;7.164;4.800;4.800;N;;
kolor;U;4.038;1.231;1.308;1.115;1.154;3.136;6.824;6.749;6.941;6.904;3.244;3.136;H;;
kolorowy;H;5.222;1.370;1.370;1.333;1.296;2.410;7.481;7.482;7.508;7.545;4.559;2.410;H;;
ko³o;U;2.808;1.654;1.577;1.808;1.346;5.096;6.572;6.617;6.385;6.828;2.559;2.559;N;;
ko³ysaæ;U;3.556;1.481;1.778;1.926;1.630;4.283;6.927;6.637;6.517;6.802;3.688;3.688;N;;
ko³yska;U;4.259;1.667;1.667;1.963;1.556;3.605;6.925;6.931;6.610;6.990;4.241;3.605;H;;
komar;A;1.192;4.769;1.577;2.038;3.962;8.157;4.846;7.901;7.521;5.877;5.395;4.846;A;;
kometa;U;3.704;1.370;1.444;1.963;1.259;3.905;6.764;6.699;6.186;6.861;3.389;3.389;N;;
komfort;H;5.519;1.148;1.185;1.222;1.296;1.826;7.645;7.618;7.580;7.488;4.799;1.826;H;;
komiczny;U;4.538;2.154;2.077;1.654;1.462;3.857;6.854;6.955;7.293;7.486;4.711;3.857;H;;
kominek;U;4.923;1.269;2.077;1.769;1.192;3.212;7.448;6.802;7.029;7.512;4.603;3.212;H;;
komisja;F;1.846;2.615;2.269;3.692;1.769;6.822;6.298;6.612;4.992;6.953;4.204;4.204;N;;
komitet;U;1.962;2.346;1.808;2.192;2.308;6.295;6.282;6.747;6.375;6.308;3.186;3.186;N;;
komizm;U;4.333;1.741;1.407;1.407;1.296;3.254;6.656;6.976;6.991;7.099;3.933;3.254;H;;
komoda;N;2.222;1.519;1.519;1.704;1.481;5.396;6.196;6.208;6.019;6.239;1.928;1.928;N;;
kompan;U;4.769;1.462;1.500;1.500;1.115;2.963;7.177;7.122;7.140;7.414;4.165;2.963;H;;
kompas;U;3.000;1.346;1.269;2.038;1.269;4.797;6.607;6.676;5.963;6.654;2.651;2.651;N;;
kompromituj¹cy;U;1.115;4.692;4.962;4.692;4.231;9.939;7.574;7.370;7.554;7.855;7.807;7.370;S;;
komunistyczny;U;1.500;4.385;3.731;3.769;4.231;8.957;7.209;7.819;7.755;7.419;6.702;6.702;N;;
konaæ;U;1.462;3.154;4.885;4.769;3.346;9.136;8.105;6.680;6.867;8.066;6.992;6.680;S;;
koncentracyjny;U;1.593;3.630;4.333;4.222;4.037;8.962;7.966;7.394;7.463;7.612;6.741;6.741;N;;
koncert;U;5.192;1.423;1.654;1.731;1.423;2.695;7.508;7.321;7.265;7.506;4.783;2.695;H;;
kondolencje;S;1.407;2.741;5.704;3.889;2.222;8.838;7.966;4.970;7.075;8.325;6.495;4.970;S;;
konflikt;U;1.154;4.538;4.769;4.654;3.385;9.471;7.084;6.899;6.942;8.057;7.295;6.899;S;;
koniak;U;3.074;1.815;1.926;1.815;2.556;5.296;6.949;6.832;6.957;6.150;3.880;3.880;N;;
koniczyna;H;4.731;1.077;1.038;1.000;1.000;2.300;7.217;7.257;7.288;7.288;3.746;2.300;H;;
koniec;U;2.889;2.111;3.000;3.074;1.333;6.059;7.094;6.226;6.215;7.673;4.551;4.551;N;;
konkurencyjny;U;2.231;3.500;2.192;3.192;2.346;6.714;5.548;6.891;5.868;6.741;4.949;4.949;N;;
konopie;U;3.296;2.000;2.111;2.111;2.111;5.214;6.803;6.721;6.766;6.682;4.312;4.312;N;;
konsekwentny;U;4.346;1.577;1.615;2.231;1.423;3.699;7.194;7.130;6.602;7.330;4.471;3.699;H;;
konstytucja;U;2.962;1.731;1.769;2.077;1.500;4.929;6.433;6.411;6.051;6.601;3.177;3.177;N;;
konsumpcyjny;U;2.115;2.923;2.385;2.346;2.962;6.873;6.347;6.948;6.988;6.334;4.577;4.577;N;;
kontakt;U;3.846;1.615;1.577;2.692;1.346;4.451;7.133;7.145;6.141;7.312;4.078;4.078;N;;
konto;U;3.038;1.962;1.538;2.577;1.192;4.897;6.298;6.673;5.590;6.993;3.461;3.461;N;;
kontrolowaæ;U;2.538;3.577;3.000;2.923;2.462;6.650;6.131;6.802;6.846;7.179;5.383;5.383;N;;
kontynuowaæ;U;3.346;1.731;1.692;2.077;1.308;4.584;6.513;6.543;6.184;6.875;3.183;3.183;N;;
koñ;U;3.846;1.192;1.423;1.846;1.346;3.679;6.965;6.768;6.325;6.821;3.500;3.500;N;;
koñczyæ;U;3.308;2.192;3.538;3.538;1.269;6.104;7.379;6.197;6.071;8.015;5.184;5.184;N;;
koñczyna;U;2.962;1.462;1.577;1.923;1.885;4.856;6.787;6.693;6.356;6.354;3.156;3.156;N;;
kopalnia;F;2.115;1.154;1.692;3.192;1.615;6.082;7.050;6.584;4.921;6.641;3.282;3.282;N;;
koparka;N;2.269;1.423;1.731;1.846;1.577;5.465;6.529;6.256;6.055;6.404;2.449;2.449;N;;
kopia;U;1.769;2.423;1.846;1.808;1.808;6.225;5.598;6.183;6.255;6.271;2.687;2.687;N;;
kopniak;A;1.846;3.769;2.192;3.000;2.500;7.120;5.424;7.102;6.362;6.845;4.721;4.721;N;;
kora;U;3.192;1.308;1.385;1.192;1.192;4.113;6.535;6.470;6.646;6.634;2.590;2.590;N;;
Koran;U;1.923;2.000;1.808;2.654;1.923;6.316;6.479;6.651;5.717;6.563;3.170;3.170;N;;
korona;U;3.846;1.538;1.500;1.846;1.231;3.911;6.797;6.818;6.539;7.024;3.566;3.566;N;;
korowód;U;2.000;1.769;1.846;2.000;1.692;5.863;6.334;6.174;6.124;6.401;2.728;2.728;N;;
kos;N;2.333;1.111;1.185;1.074;1.074;4.762;6.305;6.221;6.338;6.339;1.473;1.473;N;;
kosa;F;1.556;2.370;1.963;3.630;1.963;7.005;6.382;6.816;5.003;6.760;4.024;4.024;N;;
kosmetyczny;U;3.370;1.444;1.296;1.519;1.481;4.208;6.530;6.685;6.472;6.460;2.932;2.932;N;;
kostka;N;2.500;1.308;1.231;1.385;1.385;4.830;6.358;6.418;6.280;6.279;2.106;2.106;N;;
kosz;U;2.407;1.667;1.667;1.556;2.148;5.432;6.310;6.280;6.398;5.736;2.732;2.732;N;;
koszmar;U;1.269;3.269;3.654;5.346;3.615;9.150;7.895;7.577;5.720;7.495;6.917;5.720;F;;
kosztowaæ;A;2.000;2.926;2.556;2.037;1.519;6.456;5.425;5.939;6.368;6.881;3.612;3.612;N;;
koszula;U;3.296;1.333;1.370;1.407;1.333;4.220;6.638;6.600;6.561;6.625;2.668;2.668;N;;
koœció³;U;2.846;2.923;2.538;2.654;2.308;6.029;6.525;6.858;6.724;7.017;4.696;4.696;N;;
koœæ;N;1.923;1.385;1.500;1.962;1.808;5.709;6.420;6.275;5.758;5.936;2.359;2.359;N;;
kot;U;4.385;1.654;1.462;1.577;1.654;3.586;7.095;7.239;7.083;6.983;4.211;3.586;H;;
kotwica;U;3.154;1.346;1.808;2.077;1.654;4.790;6.883;6.412;6.232;6.590;3.378;3.378;N;;
kowad³o;N;2.308;1.462;1.423;1.692;1.308;5.344;6.313;6.347;6.030;6.443;2.008;2.008;N;;
koza;U;2.593;1.444;1.556;1.889;1.889;5.248;6.580;6.477;6.154;6.175;2.800;2.800;N;;
kozaki;U;2.192;2.000;1.692;1.577;2.077;5.836;6.251;6.550;6.598;5.985;2.966;2.966;N;;
kozica;U;3.769;1.115;1.192;1.500;1.269;3.726;6.934;6.863;6.596;6.777;3.021;3.021;N;;
kpiæ;U;1.444;5.148;3.444;2.963;3.333;8.704;5.559;7.259;7.674;7.394;6.536;5.559;A;;
krajobraz;H;5.741;1.148;1.333;1.333;1.074;1.796;7.710;7.564;7.574;7.760;4.873;1.796;H;;
kraœæ;U;1.500;4.385;4.038;3.885;3.808;8.980;7.063;7.336;7.454;7.628;6.906;6.906;N;;
krata;U;1.385;3.000;3.385;4.077;2.808;7.988;6.846;6.550;5.838;7.021;5.226;5.226;N;;
krawat;U;3.222;1.444;1.370;1.333;1.407;4.196;6.405;6.487;6.524;6.449;2.765;2.765;N;;
krawêdŸ;F;1.769;2.077;1.615;3.423;1.615;6.569;6.518;6.873;4.903;6.904;3.558;3.558;N;;
kreatywny;U;5.000;1.692;1.500;1.808;1.192;2.864;7.310;7.480;7.183;7.668;4.762;2.864;H;;
kreda;U;1.923;1.808;1.577;1.923;2.192;6.166;6.539;6.722;6.391;5.999;2.725;2.725;N;;
kredyt;U;1.462;3.731;3.577;4.308;3.077;8.469;6.863;7.002;6.094;7.371;6.087;6.087;N;;
kres;U;2.000;2.923;4.077;4.038;2.077;7.738;7.302;6.077;6.282;7.980;5.756;5.756;N;;
krew;U;1.808;2.077;2.385;3.423;3.346;7.153;7.242;6.962;5.989;5.991;4.899;4.899;N;;
krewny;U;3.556;2.556;2.259;1.889;1.852;4.984;6.200;6.516;6.852;6.863;4.160;4.160;N;;
krêgiel;U;3.852;1.333;1.370;1.778;1.185;3.947;6.962;6.962;6.570;7.078;3.344;3.344;N;;
krêpy;N;1.885;1.538;1.346;1.846;1.692;5.735;6.158;6.374;5.889;6.030;2.237;2.237;N;;
krn¹brny;A;1.423;2.923;1.692;1.808;2.269;6.543;4.926;6.299;6.205;5.745;2.999;2.999;N;;
krok;U;3.538;1.423;1.385;1.962;1.192;4.031;6.628;6.680;6.092;6.860;3.199;3.199;N;;
krokodyl;F;2.481;1.889;2.259;3.370;2.185;6.253;7.092;6.814;5.469;6.823;4.352;4.352;N;;
krokus;U;4.269;1.077;1.154;1.154;1.077;2.892;7.057;7.001;6.990;7.057;3.383;2.892;H;;
kropla;U;3.269;1.385;1.769;1.269;1.154;4.289;6.696;6.325;6.748;6.844;2.879;2.879;N;;
krucyfiks;U;1.692;2.115;2.962;3.308;2.269;7.225;7.028;6.266;5.963;6.832;4.331;4.331;N;;
kruk;U;2.000;1.731;2.154;2.538;1.923;6.116;6.860;6.460;6.028;6.636;3.299;3.299;N;;
krwawy;U;1.423;3.615;3.885;5.000;3.692;8.973;7.496;7.242;6.208;7.506;6.829;6.208;F;;
krymina³;U;2.308;2.269;2.462;3.500;2.077;6.395;6.804;6.709;5.612;6.977;4.478;4.478;N;;
krytyczny;U;1.423;3.269;3.038;3.769;2.192;7.729;6.071;6.577;5.712;7.252;4.999;4.999;N;;
krytykowaæ;U;1.423;4.154;3.615;3.500;2.692;8.375;6.290;6.837;6.921;7.613;5.672;5.672;N;;
kryzys;U;1.269;4.269;4.000;4.731;3.077;9.179;7.175;7.399;6.731;8.177;6.731;6.731;N;;
krzepki;U;3.926;1.407;1.296;1.704;1.148;3.618;6.782;6.901;6.496;7.031;3.392;3.392;N;;
krzes³o;N;2.885;1.462;1.385;1.231;1.115;4.487;6.240;6.312;6.443;6.539;2.156;2.156;N;;
krzyczeæ;U;1.846;4.500;3.462;4.538;2.731;8.311;6.347;7.322;6.237;7.830;6.576;6.237;F;;
krzyk;U;1.593;4.407;3.630;5.963;2.852;9.341;7.328;8.008;5.754;8.608;7.540;5.754;F;;
krzykliwy;A;2.259;3.926;2.259;2.444;2.852;6.913;5.387;7.085;6.919;6.656;5.028;5.028;N;;
krzywdziæ;U;1.346;5.615;5.346;5.077;4.385;10.449;7.668;7.958;8.181;8.606;8.709;7.668;A;;
krzywoprzysiêstwo;U;1.222;3.815;3.407;3.407;4.259;8.674;6.737;7.135;7.101;6.218;6.076;6.076;N;;
krzy¿;U;2.154;2.577;4.038;3.462;2.192;7.443;7.334;5.780;6.569;7.608;5.380;5.380;N;;
ksi¹dz;U;2.115;2.885;2.615;2.692;2.115;6.541;5.883;6.239;6.053;6.653;4.156;4.156;N;;
ksi¹¿ka;U;4.269;1.769;1.962;1.462;1.462;3.800;6.961;6.762;7.214;7.227;4.159;3.800;H;;
ksiê¿niczka;U;5.000;1.654;1.731;1.538;1.385;3.024;7.354;7.319;7.511;7.605;4.831;3.024;H;;
ksiê¿yc;U;5.000;1.308;2.731;1.654;1.115;3.406;7.554;6.289;7.290;7.728;4.902;3.406;H;;
kszta³ciæ;U;5.185;1.556;1.296;2.185;1.074;2.872;7.338;7.543;6.792;7.706;4.616;2.872;H;;
kszta³tuj¹cy;U;3.808;1.577;1.500;1.769;1.269;3.800;6.829;6.912;6.643;7.033;3.666;3.666;N;;
kubek;N;2.846;1.192;1.192;1.038;1.077;4.268;6.362;6.352;6.513;6.480;2.017;2.017;N;;
kuchenka;U;3.115;1.500;1.500;1.692;1.692;4.524;6.737;6.720;6.537;6.557;3.076;3.076;N;;
kucyk;U;4.269;1.500;1.577;1.538;1.385;3.549;6.985;6.898;6.960;7.069;3.800;3.549;H;;
kufer;U;3.778;1.333;1.519;1.519;1.333;3.742;6.793;6.611;6.621;6.778;3.284;3.284;N;;
kukie³ka;U;2.231;2.385;2.462;2.269;2.346;6.225;6.325;6.278;6.487;6.346;3.754;3.754;N;;
kukurydza;U;4.077;1.308;1.192;1.269;1.385;3.254;6.928;7.029;6.964;6.855;3.412;3.254;H;;
kula;U;1.808;2.000;1.962;2.731;2.038;6.501;6.607;6.766;5.968;6.653;3.360;3.360;N;;
kulminacja;U;3.481;1.741;1.593;2.407;1.667;4.777;6.746;6.912;6.177;6.844;3.604;3.604;N;;
kult;U;3.000;2.346;2.000;3.115;2.615;5.893;6.926;7.218;6.019;6.562;4.905;4.905;N;;
kulturalny;U;4.500;1.192;1.154;1.269;1.192;2.706;7.015;7.049;6.932;7.015;3.710;2.706;H;;
kupowaæ;U;4.423;2.692;2.115;2.115;1.846;4.661;6.603;7.052;7.089;7.319;4.837;4.661;H;;
kura;U;2.963;1.407;1.407;1.630;2.370;5.181;6.931;6.906;6.729;5.842;3.171;3.171;N;;
kurator;F;1.462;2.962;2.846;4.077;2.192;7.817;6.863;6.928;5.493;7.427;5.130;5.130;N;;
kurort;U;4.615;1.308;1.346;1.654;1.346;3.099;7.270;7.177;6.973;7.163;4.171;3.099;H;;
kurtka;N;3.296;1.185;1.037;1.074;1.037;3.810;6.530;6.682;6.642;6.682;2.402;2.402;N;;
kurwa;U;2.462;4.923;3.077;3.269;3.846;8.381;6.146;8.006;7.884;7.242;6.796;6.146;A;;
kurz;U;1.423;3.269;2.923;2.038;3.308;7.634;6.104;6.427;7.208;5.917;4.647;4.647;N;;
kusiæ;U;3.538;1.923;1.615;2.769;1.500;4.541;6.536;6.851;5.656;6.920;4.066;4.066;N;;
kusz¹cy;U;4.000;1.500;1.654;2.769;1.500;4.377;7.254;7.123;6.053;7.246;4.121;4.121;N;;
kwaœny;U;2.423;1.731;1.538;1.462;2.346;5.305;6.256;6.464;6.530;5.585;2.843;2.843;N;;
kwiat;H;5.385;1.154;1.423;1.269;1.154;2.199;7.512;7.288;7.418;7.523;4.585;2.199;H;;
kwota;U;2.615;1.462;1.615;2.038;1.231;5.046;6.430;6.311;5.884;6.660;2.725;2.725;N;;
laboratoryjny;U;2.808;1.192;1.385;2.462;1.769;5.083;6.916;6.739;5.690;6.424;3.182;3.182;N;;
lada;N;1.852;1.519;1.593;1.556;1.556;5.940;6.284;6.188;6.250;6.245;1.582;1.582;N;;
lalka;U;2.963;1.222;1.481;1.556;1.407;4.460;6.585;6.328;6.238;6.366;2.660;2.660;N;;
lamentowaæ;U;1.077;3.731;3.846;2.577;3.808;8.706;6.621;6.334;7.637;6.625;6.086;6.086;N;;
lampa;U;3.538;1.577;1.615;1.731;1.346;4.084;6.509;6.473;6.334;6.720;3.204;3.204;N;;
lampart;F;3.296;1.889;1.704;3.333;1.444;5.367;6.839;6.997;5.298;7.194;4.098;4.098;N;;
larwa;D;1.231;2.269;1.769;3.423;4.731;8.159;7.543;7.878;6.563;4.966;5.221;4.966;D;;
las;U;5.308;1.269;1.538;2.808;1.231;3.322;7.906;7.688;6.586;7.941;5.166;3.322;H;;
lataæ;U;5.346;1.269;1.538;2.885;1.154;3.133;7.729;7.533;6.323;7.816;5.040;3.133;H;;
latarnia;U;3.115;1.577;1.962;2.192;1.692;5.182;6.988;6.603;6.409;6.894;3.514;3.514;N;;
lato;H;5.808;1.231;1.231;1.115;1.192;1.529;7.653;7.682;7.768;7.714;4.967;1.529;H;;
latoroœl;U;4.154;1.500;1.423;1.692;1.500;3.558;6.951;7.040;6.808;6.847;4.033;3.558;H;;
laur;U;4.731;1.269;1.231;1.231;1.115;2.607;7.074;7.093;7.097;7.166;3.910;2.607;H;;
lawina;F;1.423;2.615;3.308;5.269;2.846;8.416;7.647;7.130;4.865;7.480;6.099;4.865;F;;
leczenie;U;2.556;2.667;3.667;4.074;2.556;7.162;7.302;6.366;6.030;7.392;5.560;5.560;N;;
leczyæ;U;3.346;1.385;1.962;2.962;1.615;5.005;7.349;6.804;5.886;7.147;4.267;4.267;N;;
lekarz;U;3.148;2.926;2.630;3.259;2.222;6.009;6.832;7.154;6.464;7.488;5.388;5.388;N;;
lekcja;U;2.481;1.815;2.000;2.370;1.926;5.626;6.411;6.264;5.833;6.328;3.252;3.252;N;;
lekkomyœlnoœæ;U;1.692;3.769;3.231;3.192;2.385;7.762;6.030;6.527;6.619;7.233;5.244;5.244;N;;
lekkomyœlny;A;1.593;4.185;2.667;3.000;2.593;7.652;5.268;6.871;6.589;7.018;5.263;5.263;N;;
lekkoœæ;H;5.407;1.111;1.074;1.185;1.037;1.808;7.549;7.581;7.493;7.608;4.458;1.808;H;;
leksykon;N;2.423;1.462;1.385;1.269;1.462;5.061;6.340;6.398;6.467;6.295;2.201;2.201;N;;
lemoniada;H;5.037;1.259;1.333;1.259;1.333;2.305;7.301;7.211;7.306;7.238;4.386;2.305;H;;
lew;U;3.346;1.577;1.577;3.192;1.423;5.231;7.088;7.096;5.516;7.208;3.947;3.947;N;;
lewitowaæ;U;4.111;1.111;1.148;2.370;1.037;3.783;7.235;7.193;6.034;7.285;3.752;3.752;N;;
le¿anka;U;4.115;1.385;1.808;1.654;1.385;3.526;7.045;6.699;6.811;7.057;3.889;3.526;H;;
le¿eæ;U;4.538;1.654;1.731;1.654;1.308;3.447;7.018;6.990;7.044;7.349;4.195;3.447;H;;
lêk;F;1.115;2.462;3.577;5.769;3.038;9.104;8.348;7.462;4.875;7.931;6.686;4.875;F;;
liberalny;U;4.222;2.185;1.556;2.000;1.852;4.225;6.869;7.479;7.057;7.235;4.479;4.225;H;;
licencja;U;2.962;1.769;1.577;2.077;1.692;5.017;6.597;6.763;6.178;6.681;3.306;3.306;N;;
liczba;U;2.926;1.778;1.667;1.630;1.407;4.972;6.305;6.390;6.403;6.640;2.709;2.709;N;;
liczny;U;3.192;1.500;1.308;2.154;1.423;4.513;6.537;6.701;5.863;6.606;2.934;2.934;N;;
liczyæ;U;2.885;1.923;1.538;2.038;1.500;5.013;6.163;6.519;6.065;6.568;3.107;3.107;N;;
lilia;U;4.654;1.077;2.115;1.500;1.423;3.285;7.650;6.716;7.323;7.393;4.546;3.285;H;;
limit;U;1.538;3.500;3.192;3.192;1.962;7.513;5.876;6.271;6.299;7.423;4.682;4.682;N;;
lina;U;2.462;1.577;1.731;2.385;1.385;5.497;6.566;6.446;5.772;6.751;2.795;2.795;N;;
linia;N;2.333;1.148;1.259;1.222;1.074;4.834;6.264;6.141;6.157;6.327;1.633;1.633;N;;
linijka;N;1.885;1.731;1.462;1.462;1.577;5.656;5.949;6.233;6.199;6.091;1.911;1.911;N;;
lipa;U;3.074;2.481;2.259;2.000;1.593;5.189;6.348;6.525;6.807;7.161;4.171;4.171;N;;
liryka;U;4.077;1.423;2.808;1.538;1.269;4.382;7.288;6.057;7.201;7.362;4.254;4.254;N;;
lis;U;3.269;1.962;1.385;2.500;1.654;4.818;6.484;6.981;5.895;6.683;3.654;3.654;N;;
list;U;4.111;2.111;2.444;2.370;1.556;4.438;6.758;6.484;6.553;7.227;4.478;4.438;H;;
lista;U;2.308;1.654;1.500;2.269;1.462;5.417;6.244;6.398;5.505;6.423;2.598;2.598;N;;
listopadowy;S;2.000;2.077;4.000;2.154;2.500;6.932;7.032;4.957;6.956;6.680;4.417;4.417;N;;
litania;U;1.462;2.346;2.962;1.808;2.269;7.019;6.175;5.629;6.820;6.393;3.649;3.649;N;;
literatura;U;3.769;1.500;1.885;1.577;1.615;4.157;6.929;6.545;6.859;6.763;3.610;3.610;N;;
